IATA,Airport_name,Location
ANX,"Andøya Airport, Andenes","Andenes, Norway"
ANY,Anthony Municipal Airport,"Anthony, Kansas, United States"
ANZ,Angus Downs Airport,"Angus Downs, Northern Territory, Australia"
AOA,Aroa Airport,"Aroa, Papua New Guinea"
AOB,Annanberg Airport,"Annanberg, Papua New Guinea"
AOC,Leipzig–Altenburg Airport,"Altenburg, Thuringia, Germany"
AOD,Abou-Deïa Airport,"Abou-Deïa, Chad"
AOE,Anadolu Airport,"Eskişehir, Turkey"
AOG,Anshan Teng'ao Airport,"Anshan, Liaoning, China"
AOH,Lima Allen County Airport,"Lima, Ohio, United States"
AOI,Ancona Falconara Airport,"Ancona, Marche, Italy"
AOJ,Aomori Airport,"Aomori, Honshu, Japan"
AOK,Karpathos Island National Airport,"Karpathos, Greece"
AOL,Paso de los Libres Airport,"Paso de los Libres, Corrientes, Argentina"
AOM,Adam Airport[1],"Adam, Oman"
AON,Arona Airport,"Arona, Papua New Guinea"
AOO,Altoona–Blair County Airport,"Altoona, Pennsylvania, United States"
AOP,Alférez FAP Alfredo Vladimir Sara Bauer Airport,"Andoas, Peru"
AOR,Sultan Abdul Halim Airport,"Alor Setar, Kedah, Malaysia"
AOS,Amook Bay Seaplane Base (FAA: AK81),"Amook Bay, Alaska, United States"
AOT,Aosta Valley Airport,"Aosta, Aosta Valley, Italy"
AOU,Attapeu International Airport,"Attapeu, Laos"
APA,Centennial Airport,"Denver, Colorado, United States"
APB,Apolo Airport,"Apolo, Bolivia"
APC,Napa County Airport,"Napa, California, United States"
APF,Naples Municipal Airport,"Naples, Florida, United States"
APG,Phillips Army Airfield,"Aberdeen Proving Ground, Maryland, United States"
APH,A.P. Hill Army Airfield,"Fort A.P. Hill, Virginia, United States"
API,Captain Luis F. Gómez Niño Air Base,"Apiay, Colombia"
APK,Apataki Airport,"Apataki, Tuamotus, French Polynesia"
APL,Nampula Airport,"Nampula, Mozambique"
APN,Alpena County Regional Airport,"Alpena, Michigan, United States"
APO,Antonio Roldán Betancourt Airport,"Apartadó, Colombia"
APP,Asapa Airport,"Asapa, Papua New Guinea"
APQ,Arapiraca Airport,"Arapiraca, Alagoas, Brazil"
APR,April River Airport,"April River, Papua New Guinea"
APS,Anápolis Airport,"Anápolis, Goiás, Brazil"
APT,Marion County Airport (Brown Field),"Jasper, Tennessee, United States"
APU,Apucarana Airport,"Apucarana, Paraná, Brazil"
APV,Apple Valley Airport,"Apple Valley, California, United States"
APW,Faleolo International Airport,"Apia, Upolu Island, Samoa"
APX,Arapongas Airport,"Arapongas, Paraná, Brazil"
APY,Alto Parnaíba Airport,"Alto Parnaíba, Maranhão, Brazil"
APZ,Zapala Airport,"Zapala, Neuquén, Argentina"
AQA,Araraquara Airport,"Araraquara, São Paulo, Brazil"
AQB,Quiché Airport,"Quiché, Guatemala"
AQG,Anqing Tianzhushan Airport,"Anqing, Anhui, China"
AQI,Al Qaisumah/Hafr Al Batin Airport,"Qaisumah / Hafar Al-Batin, Saudi Arabia"
AQJ,King Hussein International Airport,"Aqaba, Jordan"
AQM,Ariquemes Airport,"Ariquemes, Rondônia, Brazil"
AQP,Rodríguez Ballón International Airport,"Arequipa, Peru"
AQS,Saqani Airport,"Saqani, Fiji"
AQY,Girdwood Airport[1],"Girdwood, Alaska, United States"
ARA,Acadiana Regional Airport,"New Iberia, Louisiana, United States"
ARB,Ann Arbor Municipal Airport,"Ann Arbor, Michigan, United States"
ARC,Arctic Village Airport,"Arctic Village, Alaska, United States"
ARD,Alor Island Airport,"Alor Island, Indonesia"
ARE,Antonio (Nery) Juarbe Pol Airport (FAA: ABO),"Arecibo, Puerto Rico, United States"
ARF,Acaricuara Airport,"Acaricuara, Colombia"
ARG,Walnut Ridge Regional Airport,"Walnut Ridge, Arkansas, United States"
ARH,Talagi Airport,"Arkhangelsk, Arkhangelsk Oblast, Russia"
ARI,Chacalluta International Airport,"Arica, Chile"
ARJ,Arso Airport,"Arso, Indonesia"
ARK,Arusha Airport,"Arusha, Tanzania"
ARL,Arly Airport,"Arly, Burkina Faso"
ARM,Armidale Airport,"Armidale, New South Wales, Australia"
ARN,Stockholm Arlanda Airport,"Stockholm, Sweden"
ARO,Arboletes Airport,"Arboletes, Colombia"
ARP,Aragip Airport,"Aragip, Papua New Guinea"
ARQ,El Troncal Airport,"Arauquita, Colombia"
ARR,Alto Río Senguer Airport,"Alto Río Senguer, Chubut, Argentina"
ARS,Aragarças Airport,"Aragarças, Goiás, Brazil"
ART,Watertown International Airport,"Watertown, New York, United States"
ARU,Araçatuba Airport,"Araçatuba, São Paulo, Brazil"
ARV,Lakeland Airport (Noble F. Lee Memorial Field),"Minocqua / Woodruff, Wisconsin, United States"
ARW,Arad International Airport,"Arad, Romania"
ARX,Aracati Airport,"Aracati, Canoa Quebrada, Brazil"
ARY,Ararat Airport,"Ararat, Victoria, Australia"
ARZ,N'zeto Airport,"N'zeto, Angola"
ASA,Assab International Airport,"Assab, Eritrea"
ASB,Ashgabat International Airport,"Ashgabat, Turkmenistan"
ASC,Ascención de Guarayos Airport,"Ascención de Guarayos, Bolivia"
ASD,Andros Town International Airport,"Andros Town, Andros Island, Bahamas"
ASE,Aspen–Pitkin County Airport (Sardy Field),"Aspen, Colorado, United States"
ASF,Narimanovo Airport,"Astrakhan, Astrakhan Oblast, Russia"
ASG,Ashburton Aerodrome,"Ashburton, New Zealand"
ASH,Nashua Airport (Boire Field),"Nashua, New Hampshire, United States"
ASI,RAF Ascension Island (Wideawake Field),"Ascension Island, British Overseas Territory
of Saint Helena, Ascension and Tristan da Cunha"
ASJ,Amami Airport,"Amami, Satsunan Islands, Japan"
ASK,Yamoussoukro Airport,"Yamoussoukro, Côte d'Ivoire"
ASL,Harrison County Airport,"Marshall, Texas, United States"
ASM,Asmara International Airport,"Asmara, Eritrea"
ASN,Talladega Municipal Airport,"Talladega, Alabama, United States"
ASO,Asosa Airport,"Asosa, Ethiopia"
ASP,Alice Springs Airport,"Alice Springs, Northern Territory, Australia"
ASQ,Austin Airport (FAA: 9U3),"Austin, Nevada, United States"
ASR,Erkilet International Airport,"Kayseri, Turkey"
AST,Astoria Regional Airport,"Astoria, Oregon, United States"
ASU,Silvio Pettirossi International Airport,"Asunción, Paraguay"
ASV,Amboseli Airport,"Amboseli, Kenya"
ASW,Aswan International Airport,"Aswan, Egypt"
ASX,John F. Kennedy Memorial Airport,"Ashland, Wisconsin, United States"
ASY,Ashley Municipal Airport,"Ashley, North Dakota, United States"
ASZ,Asirim Airport,"Asirim, Papua New Guinea"
ATA,Comandante FAP Germán Arias Graziani Airport,"Huaraz, Peru"
ATB,Atbara Airport,"Atbara, Sudan"
ATC,Arthur's Town Airport,"Arthur's Town, Cat Island, Bahamas"
ATD,Uru Harbour Airport,"Atoifi, Malaita, Solomon Islands"
ATE,Antlers Municipal Airport (FAA: 80F),"Antlers, Oklahoma, United States"
ATF,Chachoan Airport,"Ambato, Ecuador"
ATG,PAF Base Minhas,"Attock, Pakistan"
ATH,Athens International Airport (Eleftherios Venizelos Airport),"Athens, Greece"
ATI,Artigas International Airport,"Artigas, Uruguay"
ATJ,Antsirabe Airport,"Antsirabe, Madagascar"
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,"Atqasuk, Alaska, United States"
ATL,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia, United States"
ATM,Altamira Airport,"Altamira, Pará, Brazil"
ATN,Namatanai Airport,"Namatanai, Papua New Guinea"
ATO,Ohio University Airport (Snyder Field) (FAA: UNI),"Athens / Albany, Ohio, United States"
ATP,Aitape Airstrip,"Aitape, Papua New Guinea"
ATQ,Sri Guru Ram Dass Jee International Airport,"Amritsar, Punjab, India"
ATR,Atar International Airport,"Atar, Mauritania"
ATS,Artesia Municipal Airport,"Artesia, New Mexico, United States"
ATT,Atmautluak Airport (FAA: 4A2),"Atmautluak, Alaska, United States"
ATU,Casco Cove Coast Guard Station,"Attu Island, Alaska, United States"
ATV,Ati Airport,"Ati, Chad"
ATW,Appleton International Airport,"Appleton, Wisconsin, United States"
ATX,Atbasar Airport,"Atbasar, Kazakhstan"
ATY,Watertown Regional Airport,"Watertown, South Dakota, United States"
ATZ,Assiut Airport,"Assiut, Egypt"
AUA,Queen Beatrix International Airport,"Aruba, Kingdom of the Netherlands"
AUC,Santiago Pérez Quiroz Airport,"Arauca, Colombia"
AUD,Augustus Downs Airport,"Augustus Downs Station, Queensland, Australia"
AUE,Abu Rudeis Airport,"Abou Redis, Egypt"
AUF,Auxerre – Branches Aerodrome,"Auxerre, Burgundy, France"
AUG,Augusta State Airport,"Augusta, Maine, United States"
AUH,Abu Dhabi International Airport,"Abu Dhabi, United Arab Emirates"
AUI,Aua Island Airport,"Aua Island, Papua New Guinea"
AUJ,Ambunti Airport,"Ambunti, Papua New Guinea"
AUK,Alakanuk Airport,"Alakanuk, Alaska, United States"
AUL,Aur Airport,"Aur Atoll, Marshall Islands"
AUM,Austin Municipal Airport,"Austin, Minnesota, United States"
AUN,Auburn Municipal Airport,"Auburn, California, United States"
AUO,Auburn University Regional Airport,"Auburn, Alabama, United States"
AUP,Agaun Airport,"Agaun, Papua New Guinea"
AUQ,Atuona Airport,"Atuona, Marquesas Islands, French Polynesia"
AUR,Aurillac – Tronquières Airport,"Aurillac, Auvergne, France"
